title,media,date,datetime,desc,link,img
"Dear Pakistani (Un)Educated Media, G20 Meeting In Bharat",PGurus,2 hours ago,2023-09-25 12:26:57.774012,,https://www.pgurus.com/my-new-letter-series-dear-pakistani-uneducated-media-g20-meeting-in-bharat/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
PM Modi invites youth to participate in G20 University Connect Finale; Register here,Republic World,2 hours ago,2023-09-25 12:26:57.796913,,https://www.republicworld.com/education/news/pm-modi-invites-youth-to-participate-in-g20-university-connect-finale-register-here-articleshow.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"G20 News : Global South देशों ने G20 के लिए की भारत की तारीफ, S Jaishankar ने Video किया पोस्ट",YouTube,2 hours ago,2023-09-25 12:26:57.811864,,https://www.youtube.com/watch%3Fv%3DcaqEvv5IZF8,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Govt directs depts to implement vision outlined during G20, submit action plan",The Times of India,2 hours ago,2023-09-25 12:26:57.832041,,https://m.timesofindia.com/city/delhi/govt-directs-depts-to-implement-vision-outlined-during-g20-submit-action-plan/articleshow/103913468.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
India’s G20 Presidencywas challenging: EAM,The Hitavada,3 hours ago,2023-09-25 11:26:57.856644,,https://www.thehitavada.com/Encyc/2023/9/25/India-s-G20-Presidencywas-challenging-EAM.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
PM Modi to engage with academic leaders at G20 University Connect,Zee Business,3 hours ago,2023-09-25 11:26:57.876047,,https://www.zeebiz.com/india/news-pm-modi-to-engage-with-academic-leaders-at-g20-university-connect-255923,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
G-20 University Connect Finale to take place at Bharat Mandapam,News On AIR,4 hours ago,2023-09-25 10:26:57.891466,,https://newsonair.gov.in/Main-News-Details.aspx%3Fid%3D468319,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
PM Modi Invites Students and Young Professionals For G20 University Connect Finale Tomorrow,Times Now,5 hours ago,2023-09-25 09:26:57.904491,,https://www.timesnownews.com/education/pm-modi-invites-students-and-young-professionals-for-g20-university-connect-finale-tomorrow-article-103919135,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Nuke Issues & G-20 Declaration,The Hans India,5 hours ago,2023-09-25 09:27:21.387160,,https://www.thehansindia.com/hans/opinion/news-analysis/nuke-issues-g-20-declaration-825146,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
G-20 Summit: Diplomatic Triumph For India To Blunt China And Outshine ASEAN – OpEd,Eurasia Review,5 hours ago,2023-09-25 09:27:21.407551,,https://www.eurasiareview.com/25092023-g-20-summit-diplomatic-triumph-for-india-to-blunt-china-and-outshine-asean-oped/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Delhi govt prepares 63-point action plan to implement G20 declarations on ground,The Indian Express,6 hours ago,2023-09-25 08:27:21.422182,,https://indianexpress.com/article/cities/delhi/delhi-govt-prepares-63-point-action-plan-to-implement-declarations-on-ground-8954479/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
September 2023,G20,6 hours ago,2023-09-25 08:27:21.447106,,https://www.g20.org/en/media-resources/gallery/september-2023/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Delhi government asks departments to formulate plan to implement 63 action points of G20 declaration,ET EnergyWorld,6 hours ago,2023-09-25 08:27:21.467050,,https://energy.economictimes.indiatimes.com/news/renewable/delhi-government-asks-departments-to-formulate-plan-to-implement-63-action-points-of-g20-declaration/103917683,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
The overarching outcomes of G20 summit,Tribune India,9 hours ago,2023-09-25 05:27:21.488615,,https://www.tribuneindia.com/news/comment/the-overarching-outcomes-of-g20-summit-547384,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"G20 Summit done, thieves make off with flower pots, lights, wires",The Indian Express,9 hours ago,2023-09-25 05:27:21.507139,,https://indianexpress.com/article/cities/delhi/g20-summit-concluded-delhi-theft-incidents-missing-flower-pots-complaints-8954475/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"G20 university connect event tomorrow, PM Modi to join in",The Times of India,0 hours ago,2023-09-25 14:27:21.507139,,https://m.timesofindia.com/india/g20-university-connect-event-tomorrow-pm-modi-to-join-in/articleshow/103915174.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Portugal, Mexico and Bhutan foreign ministers praise India’s Presidency at G20 Summit",Republic World,2 hours ago,2023-09-25 12:27:21.514696,,https://www.republicworld.com/india-news/general-news/portugal-mexico-and-bhutan-foreign-ministers-praise-indias-presidency-at-g20-summit-articleshow.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
